5/12/2020 7:40:46 PM /TELEPLOC a x:51 Y:61 Map:34
5/12/2020 7:40:47 PM /TELEPLOC a x:51 Y:58 Map:34
5/12/2020 7:40:52 PM /TELEPLOC a x:51 Y:58 Map:34
5/12/2020 7:40:54 PM /TELEPLOC a x:50 Y:58 Map:34
5/12/2020 7:40:55 PM /TELEPLOC a x:51 Y:58 Map:34
5/12/2020 7:40:56 PM /TELEPLOC a x:51 Y:57 Map:34
5/12/2020 7:40:59 PM /TELEPLOC a x:51 Y:57 Map:34
5/12/2020 7:41:01 PM /TELEPLOC a x:51 Y:60 Map:34
5/12/2020 7:41:07 PM /TELEPLOC a x:57 Y:60 Map:34
5/12/2020 7:41:07 PM /TELEPLOC a x:63 Y:59 Map:34
5/12/2020 7:41:08 PM /TELEPLOC a x:69 Y:56 Map:34
5/12/2020 7:41:09 PM /TELEPLOC a x:75 Y:53 Map:34
5/12/2020 7:41:10 PM /TELEPLOC a x:81 Y:50 Map:34
5/12/2020 7:41:11 PM /TELEPLOC a x:82 Y:46 Map:34
5/12/2020 7:41:11 PM /TELEPLOC a x:81 Y:42 Map:34
5/12/2020 7:41:13 PM /TELEPLOC a x:82 Y:38 Map:34
5/12/2020 7:41:14 PM /TELEPLOC a x:82 Y:34 Map:34
5/12/2020 7:41:16 PM /TELEPLOC a x:82 Y:30 Map:34
5/12/2020 7:41:16 PM /TELEPLOC a x:81 Y:27 Map:34
5/12/2020 7:41:19 PM /TELEPLOC a x:77 Y:23 Map:34
5/12/2020 7:41:21 PM /TELEPLOC a x:73 Y:18 Map:34
5/12/2020 7:41:23 PM /TELEPLOC a x:76 Y:16 Map:34
5/12/2020 7:42:52 PM /TELEPLOC a x:56 Y:47 Map:279
5/12/2020 7:42:55 PM /TELEPLOC a x:55 Y:40 Map:279
5/12/2020 7:42:56 PM /TELEPLOC a x:56 Y:36 Map:279
5/12/2020 7:42:58 PM /TELEPLOC a x:59 Y:31 Map:279
